Date	Open	High	Low	Close	Volume	Market Cap
Feb 03, 2018	0.891992	0.974799	0.761635	0.924043	1,988,960,000	34,795,900,000
Feb 02, 2018	0.960642	0.960642	0.635185	0.884784	3,529,760,000	37,473,900,000
Feb 01, 2018	1.16	1.16	0.930378	0.962530	1,410,420,000	44,971,500,000
Jan 31, 2018	1.13	1.19	1.04	1.16	1,264,030,000	43,800,800,000
Jan 30, 2018	1.33	1.33	1.13	1.14	1,134,640,000	51,452,400,000
Jan 29, 2018	1.40	1.41	1.30	1.32	1,073,680,000	54,204,300,000
Jan 28, 2018	1.22	1.44	1.22	1.40	1,327,360,000	47,412,500,000
Jan 27, 2018	1.22	1.24	1.19	1.22	689,101,000	47,180,200,000
Jan 26, 2018	1.31	1.33	1.14	1.22	2,037,570,000	50,706,400,000
Jan 25, 2018	1.36	1.38	1.29	1.31	986,068,000	52,811,100,000
Jan 24, 2018	1.35	1.42	1.31	1.36	1,853,440,000	52,380,100,000
Jan 23, 2018	1.35	1.43	1.20	1.34	2,977,080,000	52,421,300,000
Jan 22, 2018	1.39	1.43	1.16	1.36	2,642,510,000	53,909,800,000
Jan 21, 2018	1.58	1.58	1.34	1.38	2,840,750,000	61,061,900,000
Jan 20, 2018	1.56	1.63	1.50	1.58	2,346,450,000	60,543,000,000
Jan 19, 2018	1.58	1.70	1.50	1.55	3,697,430,000	61,291,900,000
Jan 18, 2018	1.31	1.73	1.26	1.60	9,110,440,000	50,577,100,000
Jan 17, 2018	1.18	1.38	0.897797	1.31	7,251,210,000	45,854,700,000
Jan 16, 2018	1.68	1.70	0.909313	1.18	5,687,960,000	65,018,400,000
Jan 15, 2018	1.86	1.90	1.67	1.68	1,838,460,000	71,909,400,000
Jan 14, 2018	2.02	2.02	1.81	1.86	1,978,200,000	78,195,800,000
Jan 13, 2018	2.05	2.12	1.98	2.02	2,130,170,000	79,469,700,000
Jan 12, 2018	1.94	2.16	1.87	2.04	3,330,810,000	75,172,500,000
Jan 11, 2018	1.98	2.25	1.62	1.95	6,296,120,000	76,711,800,000
Jan 10, 2018	2.13	2.16	1.70	1.97	4,833,640,000	82,511,000,000
Jan 09, 2018	2.44	2.53	1.98	2.10	3,694,700,000	94,657,500,000
Jan 08, 2018	3.36	3.36	2.07	2.46	3,315,260,000	130,302,000,000
Jan 07, 2018	3.09	3.49	3.08	3.38	2,395,150,000	119,819,000,000
Jan 06, 2018	3.02	3.24	2.99	3.09	2,777,560,000	117,033,000,000
Jan 05, 2018	3.30	3.56	2.83	3.05	6,288,500,000	127,870,000,000
Jan 04, 2018	3.12	3.84	3.12	3.20	8,103,660,000	120,763,000,000
Jan 03, 2018	2.46	3.28	2.44	3.11	6,635,880,000	95,457,200,000
Jan 02, 2018	2.37	2.49	2.25	2.48	3,171,010,000	91,791,800,000
Jan 01, 2018	2.30	2.39	2.15	2.39	1,894,230,000	88,945,900,000
Dec 31, 2017	2.10	2.39	1.87	2.30	4,642,080,000	81,162,600,000
Dec 30, 2017	2.20	2.85	2.04	2.16	8,108,390,000	85,187,400,000
Dec 29, 2017	1.44	2.27	1.44	2.21	7,545,740,000	55,767,500,000
Dec 28, 2017	1.39	1.50	1.26	1.43	2,843,300,000	53,998,200,000
Dec 27, 2017	1.18	1.47	1.18	1.40	2,854,260,000	45,875,700,000
Dec 26, 2017	1.12	1.19	1.09	1.19	938,847,000	43,455,400,000
Dec 25, 2017	1.05	1.13	1.00	1.12	686,014,000	40,506,000,000
Dec 24, 2017	1.18	1.18	0.911226	1.04	754,959,000	45,541,100,000
Dec 23, 2017	1.17	1.21	1.08	1.17	1,497,590,000	45,167,600,000
Dec 22, 2017	1.17	1.38	0.741013	1.14	4,644,700,000	45,189,500,000
Dec 21, 2017	0.782515	1.24	0.782515	1.19	3,626,110,000	30,314,000,000
Dec 20, 2017	0.787171	0.789044	0.730953	0.775964	1,007,420,000	30,494,300,000
Dec 19, 2017	0.777447	0.863536	0.756724	0.791257	1,449,670,000	30,117,600,000
Dec 18, 2017	0.728036	0.792014	0.689323	0.778407	1,342,720,000	28,203,500,000
Dec 17, 2017	0.754125	0.765981	0.719929	0.728366	805,200,000	29,214,200,000
Dec 16, 2017	0.755493	0.815923	0.741667	0.758642	1,334,770,000	29,267,100,000
Dec 15, 2017	0.861760	0.861760	0.666114	0.756181	3,194,210,000	33,383,900,000
Dec 14, 2017	0.470648	0.892267	0.466401	0.864263	6,358,700,000	18,232,500,000
Dec 13, 2017	0.372689	0.513768	0.342964	0.471063	2,738,760,000	14,437,600,000
Dec 12, 2017	0.252258	0.434102	0.250961	0.373541	1,555,040,000	9,772,240,000
Dec 11, 2017	0.236574	0.252777	0.235804	0.251691	176,101,000	9,164,670,000
Dec 10, 2017	0.245548	0.245548	0.229304	0.237333	198,174,000	9,512,330,000
Dec 09, 2017	0.252162	0.255684	0.240073	0.244708	205,289,000	9,768,540,000
